clock-1      | [Clock] 152:snake_length=3 eaten_apples=0 loss=-0.129 policy_loss=-0.022 entropy_mean=1.078 grad_norm=0.071 frames=205  sum_reward=204
clock-1      | [Clock] 153:snake_length=3 eaten_apples=0 loss=-0.170 policy_loss=-0.063 entropy_mean=1.078 grad_norm=0.295 frames=63  sum_reward=62
clock-1      | [Clock] 154:snake_length=3 eaten_apples=0 loss=-0.113 policy_loss=-0.006 entropy_mean=1.077 grad_norm=0.096 frames=334  sum_reward=333
clock-1      | [Clock] 155:snake_length=3 eaten_apples=0 loss=-0.128 policy_loss=-0.020 entropy_mean=1.077 grad_norm=0.144 frames=198  sum_reward=197
clock-1      | [Clock] 156:snake_length=3 eaten_apples=0 loss=-0.130 policy_loss=-0.023 entropy_mean=1.076 grad_norm=0.095 frames=127  sum_reward=126
clock-1      | [Clock] 157:snake_length=3 eaten_apples=0 loss=-0.107 policy_loss=0.001 entropy_mean=1.076 grad_norm=0.036 frames=334  sum_reward=333
clock-1      | [Clock] 158:snake_length=3 eaten_apples=0 loss=-0.092 policy_loss=0.015 entropy_mean=1.076 grad_norm=0.112 frames=43  sum_reward=42
clock-1      | [Clock] 159:snake_length=3 eaten_apples=0 loss=-0.107 policy_loss=0.001 entropy_mean=1.076 grad_norm=0.129 frames=141  sum_reward=140
clock-1      | [Clock] 160:snake_length=3 eaten_apples=0 loss=-0.105 policy_loss=0.003 entropy_mean=1.076 grad_norm=0.108 frames=67  sum_reward=66
clock-1      | [Clock] 161:snake_length=3 eaten_apples=0 loss=-0.072 policy_loss=0.035 entropy_mean=1.075 grad_norm=0.145 frames=500  sum_reward=499
clock-1      | [Clock] 162:snake_length=4 eaten_apples=1 loss=-0.106 policy_loss=0.001 entropy_mean=1.075 grad_norm=0.196 frames=108  sum_reward=108
clock-1      | [Clock] 163:snake_length=4 eaten_apples=1 loss=-0.098 policy_loss=0.009 entropy_mean=1.075 grad_norm=0.075 frames=236  sum_reward=236
clock-1      | [Clock] 164:snake_length=3 eaten_apples=0 loss=-0.126 policy_loss=-0.018 entropy_mean=1.075 grad_norm=0.075 frames=420  sum_reward=419
clock-1      | [Clock] 165:snake_length=3 eaten_apples=0 loss=-0.115 policy_loss=-0.007 entropy_mean=1.075 grad_norm=0.040 frames=140  sum_reward=139
clock-1      | [Clock] 166:snake_length=4 eaten_apples=1 loss=-0.158 policy_loss=-0.050 entropy_mean=1.075 grad_norm=0.220 frames=98  sum_reward=98
clock-1      | [Clock] 167:snake_length=3 eaten_apples=0 loss=-0.013 policy_loss=0.094 entropy_mean=1.076 grad_norm=0.536 frames=7  sum_reward=6
clock-1      | [Clock] 168:snake_length=3 eaten_apples=0 loss=-0.207 policy_loss=-0.100 entropy_mean=1.076 grad_norm=0.363 frames=52  sum_reward=51
clock-1      | [Clock] 169:snake_length=3 eaten_apples=0 loss=-0.107 policy_loss=0.000 entropy_mean=1.075 grad_norm=0.051 frames=194  sum_reward=193
